Provinsi dg Rata2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-Rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai menurut Provinsi dan Lapangan Pekerjaan Utama di 17 Sektor (Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,B Pertambangan dan Penggalian,,,C Industri Pengolahan,,,D Pengadaan Listrik dan Gas,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,F Konstruksi,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,H Transportasi dan Pergudangan,,,I Penyediaan Akomodasi dan Makan Minum,,,J Informasi dan Komunikasi,,,K Jasa Keuangan dan Asuransi,,,L Real Estate,,,"M,N Jasa Perusahaan",,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,P Jasa Pendidikan,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,"R,S,T,U Jasa Lainnya",,,Total,,
,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,
,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan
KALIMANTAN TIMUR,3887382,4437670,-,6489701,6632753,-,5028169,4978610,-,6162315,5393154,-,4655096,5007179,-,4466353,4361213,-,3354539,3297589,-,3624716,4801768,-,2504371,2315557,-,4533142,4667589,-,5574507,4876634,-,7057790,3407516,-,4541537,4561042,-,4694130,4577903,-,3305832,3925394,-,4037153,4361425,-,2221086,2166722,-,4439658,4475944,-
KALIMANTAN UTARA,4553107,2987674,-,5602212,5748893,-,4188220,3925506,-,4456038,4061738,-,-,4595745,-,4750109,2973695,-,4370238,2389231,-,2813051,2856504,-,1850174,2010970,-,-,3897355,-,3609740,5132038,-,-,4736908,-,3318583,3685325,-,4932934,4647506,-,3991950,3733868,-,4965989,3863921,-,1618646,1937383,-,4355707,3675921,-
SULAWESI UTARA,2305697,2707401,-,3821263,4307039,-,2970249,3044227,-,4203005,4634203,-,4304239,2964738,-,3009753,3163919,-,3451381,3016364,-,3661433,3795138,-,2493369,2853485,-,3312202,3104898,-,3419239,4263007,-,-,3430523,-,3780726,3437984,-,3783958,4048785,-,3803655,3588404,-,3576106,3511740,-,2216470,2300971,-,3332950,3420935,-
SULAWESI TENGAH,2143868,2326855,-,3916004,4208498,-,4005552,3895723,-,2876350,4293283,-,2609059,2501121,-,3832136,2626235,-,1920580,2128497,-,2768140,2590279,-,1376906,1671777,-,3229766,3120980,-,3577652,3914978,-,-,5571336,-,2328633,2617226,-,3202370,3723830,-,4005407,3288897,-,2233493,2776378,-,1355167,1787149,-,3077492,3056120,-
SULAWESI SELATAN,1919696,2287084,-,7165308,5556142,-,2269827,2486183,-,4473691,3959718,-,2850204,2602877,-,2587341,2578844,-,2481920,2563279,-,4474649,5247392,-,1759235,2107830,-,2717737,3561262,-,4503724,4012827,-,2381316,2967035,-,3788640,3728371,-,3590376,3492729,-,3102583,3450859,-,2490672,2700032,-,1734427,1978724,-,2956256,3060385,-
SULAWESI TENGGARA,2613808,2811095,-,4348823,4332715,-,2624556,2747068,-,5264766,3196831,-,1699251,2307698,-,2839291,2686920,-,2455587,2461788,-,3278745,2959507,-,2290513,1617470,-,4198579,3879799,-,3644573,3625112,-,-,3820685,-,2775098,3750637,-,3085879,3643522,-,3198090,3583743,-,2257471,2796918,-,1232422,1641348,-,2928215,3189724,-
GORONTALO,1815333,2895969,-,5029766,3359149,-,2128599,1881745,-,4062676,3454474,-,2057715,3921714,-,2417467,2527691,-,2520013,2301326,-,2917403,2753552,-,1394467,1325626,-,1082952,1812607,-,3247578,3936344,-,-,-,-,2139145,3506570,-,2987481,3720085,-,3209570,3561803,-,1692012,2503584,-,853246,980664,-,2506904,2911813,-
SULAWESI BARAT,1357972,2499572,-,-,5535282,-,2049724,2144498,-,2511194,2652062,-,1357844,2419701,-,2434752,2090050,-,1619945,1926877,-,4165139,2785735,-,1158737,1365799,-,3863549,3279581,-,2888602,3750764,-,-,-,-,2660126,2796597,-,3450372,3479514,-,2661188,2829577,-,2577650,2917174,-,1974074,1460849,-,2608578,2698528,-
MALUKU,2209253,2287230,-,5328104,3402744,-,2052163,2249330,-,6934298,3210500,-,2033980,3540341,-,2790697,2838614,-,2236087,2453694,-,2227946,2468156,-,3288849,1975443,-,3216165,3480111,-,3147015,3741986,-,-,-,-,5931466,2346854,-,3324240,4068192,-,2505962,3075047,-,2611553,2638356,-,1618032,1810828,-,2866807,3100805,-
MALUKU UTARA,2077638,2469241,-,6214463,6083756,-,4432086,3678762,-,4022953,3767542,-,-,3625311,-,3842881,4209528,-,2159604,2382428,-,2701349,3096858,-,2564451,1966681,-,-,3534833,-,3414847,4430168,-,-,-,-,1818123,3238795,-,3821400,4076545,-,3381686,3238464,-,2827651,3208463,-,1561323,2226967,-,3666126,3620219,-
PAPUA BARAT,2241272,3085260,-,-,5176964,-,3416080,2852189,-,3397710,-,-,1801697,3928482,-,4324175,3537234,-,2433288,2702393,-,2649044,2795701,-,3427161,2915459,-,3077236,3649834,-,3499859,4275717,-,-,-,-,2961877,2954060,-,3852547,4299481,-,3625417,3535228,-,3246092,4193201,-,2246053,2429632,-,3459119,3765973,-
PAPUA BARAT DAYA,2633855,3438178,-,9301825,4768339,-,3280833,3547451,-,5456013,4066262,-,-,-,-,3198870,4605899,-,3209207,3122736,-,3377192,3181558,-,2181146,2697077,-,3046246,6164638,-,4300000,4460691,-,-,-,-,3178438,4401129,-,3481806,4325070,-,3456068,3567839,-,3377832,3656038,-,2849442,3176755,-,3644386,3837947,-
PAPUA,3194849,3702570,-,4619776,4856000,-,2886703,4942013,-,4815704,6169643,-,-,4305836,-,3154949,4027445,-,3762507,4007967,-,2378473,3858197,-,5132174,2706006,-,4805320,4042799,-,5479091,7042557,-,-,-,-,4195521,3937959,-,4448848,5128804,-,4036817,3683659,-,3388391,3896079,-,2681829,2899547,-,3984589,4426645,-
PAPUA SELATAN,4332132,4685930,-,-,-,-,3112020,3156243,-,4483736,3729948,-,-,3731429,-,3360988,3937978,-,2815305,2624043,-,3782595,5146361,-,2581495,2718148,-,-,6604964,-,2802419,4331109,-,-,-,-,-,4607137,-,4361952,4461943,-,3579906,4632099,-,3584153,3769842,-,2790292,2845447,-,3865415,4264963,-
PAPUA TENGAH,3796940,2902392,-,13111551,9791755,-,2147445,4657542,-,-,6522003,-,-,8596509,-,4788829,5120291,-,2154597,3638459,-,3400000,4224670,-,2841306,-,-,-,3758780,-,1800000,9243617,-,-,-,-,3554508,6526785,-,3916570,4600774,-,2792177,3745161,-,4143997,4160470,-,2546686,3820089,-,4747826,4808336,-
PAPUA PEGUNUNGAN,1004088,1769571,-,-,-,-,-,2761446,-,-,-,-,-,-,-,3107547,4773837,-,3010288,2879016,-,3282332,3123529,-,2945026,-,-,4740374,-,-,3057102,-,-,-,-,-,-,2045263,-,4281424,4984667,-,4240400,4370497,-,4525119,4185124,-,2986070,2409399,-,4133474,3941546,-
RATA-RATA,2247459,2540278,-,5086094,4983713,-,3090532,3269849,-,5040313,5073204,-,2906210,2835286,-,3209091,3234953,-,2667185,2839730,-,3720086,4094527,-,2424447,2546968,-,4131648,5278706,-,4878087,5116552,-,4042854,4399016,-,3965419,4261425,-,3758174,4427234,-,2794131,3057490,-,3415963,3750376,-,1808930,1964115,-,3094818,3331012,-
